PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Dwight Howard,Eastern,29.7,13.5,5.2,8.3,63.3,0,0,0,3.1,5.7,53.3,4,8.7,12.7,1.4,2.3,0.9,1.2,2.7,53,0,-1.5
Dwight Powell,Western,17.3,6.7,2.5,4.9,51.5,0.3,1,28.4,1.4,1.8,75.9,1.2,2.8,4,0.6,0.4,0.8,0.5,1.8,2,0,-2.2
Dwyane Wade,Eastern,29.9,18.3,6.9,15.9,43.4,0.8,2.4,31,3.7,4.7,79.4,1.1,3.5,4.5,3.8,2.3,1.4,0.7,1.9,2,0,-1.2
E'Twaun Moore,Western,24.9,9.6,3.9,8.5,45.7,1.1,2.8,37,0.8,1,77,0.5,1.6,2.1,2.2,0.8,0.7,0.4,1.8,0,0,-1.5
Ed Davis,Western,17.2,4.3,1.6,3.1,52.8,0,0,0,1.1,1.8,61.7,2.1,3.2,5.3,0.6,0.8,0.3,0.5,3,3,0,-2.8
Edy Tavares,Eastern,13.8,4,2,2.5,80,0,0,0,0,1.5,0,2,3.5,5.5,0.5,1,0,3,1.5,0,0,5
Elfrid Payton,Eastern,29.4,12.8,5.2,11.1,47.1,0.5,1.8,27.4,1.8,2.6,69.2,1.1,3.6,4.7,6.5,2.2,1.1,0.5,2.2,18,5,-1.8
Elijah Millsap,Western,11.6,1.5,0.5,3.5,14.3,0,1,0,0.5,1,50,1.5,1.5,3,0.5,1,0,0,1,0,0,-3
Emmanuel Mudiay,Western,25.6,11,3.8,10,37.7,1,3.2,31.5,2.4,3,78.4,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,1,0,-2.4
Enes Kanter,Western,21.3,14.3,5.6,10.2,54.5,0.1,0.5,13.2,3.1,4,78.6,2.7,4,6.7,0.9,1.7,0.4,0.5,2.1,18,0,0.8
Eric Bledsoe,Western,33,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,7,1,-2.8
Eric Gordon,Western,31,16.2,5.5,13.5,40.6,3.3,8.8,37.2,2,2.3,84,0.4,2.3,2.7,2.5,1.6,0.6,0.5,2,0,0,3.9
